,index,time,timeseq,Temperature,humidity,Precipitation,Surface_wind_speed,work_day,power_load
0,0,2020-01-01 00:00:00,0.0,0.17729688686408504,0.30482702316562915,0.0,0.06605922551252846,0.0,0.1967843167105504
1,4,2020-01-01 01:00:00,0.042105263157894736,0.17577828397873957,0.29431574650474546,0.0,0.0398633257403189,0.0,0.1667975683427847
2,8,2020-01-01 02:00:00,0.08421052631578947,0.16324981017463935,0.33013572813552405,0.0,0.05808656036446469,0.0,0.15586479875164783
3,12,2020-01-01 03:00:00,0.12631578947368421,0.13933181473044798,0.4584141238901929,0.0,0.06150341685649202,0.0,0.1492636636553515
4,16,2020-01-01 04:00:00,0.16842105263157894,0.1315489749430524,0.5009694866823146,0.0,0.06492027334851935,0.0,0.13813344589724152
5,20,2020-01-01 05:00:00,0.21052631578947367,0.1148443432042521,0.5244412695172977,0.0,0.08200455580865602,0.0,0.1403330553835188
6,24,2020-01-01 06:00:00,0.25263157894736843,0.11313591495823841,0.5098479436677212,0.0,0.07858769931662869,0.0,0.16301260692706288
7,28,2020-01-01 07:00:00,0.29473684210526313,0.12205770690964314,0.4873966731299113,0.0,0.09794988610478358,0.0,0.21051665219251647
8,32,2020-01-01 08:00:00,0.3368421052631579,0.1326879271070615,0.42096132258393715,0.0,0.11047835990888381,0.0,0.31136837807633344
9,36,2020-01-01 09:00:00,0.3789473684210526,0.21051632498101747,0.29615266863965717,0.0,0.07630979498861046,0.0,0.4065280146886674
10,40,2020-01-01 10:00:00,0.42105263157894735,0.21583143507972666,0.30952137973262583,0.0,0.025056947608200448,0.0,0.4358781311161932
11,44,2020-01-01 11:00:00,0.46315789473684205,0.21810933940774488,0.32176752729870395,0.0,0.06036446469248291,0.0,0.4464268455694682
12,48,2020-01-01 12:00:00,0.5052631578947369,0.2651860288534548,0.3001326665986326,0.0,0.11958997722095671,0.0,0.4352850946240352
13,52,2020-01-01 13:00:00,0.5473684210526315,0.26936218678815493,0.3019695887335443,0.0,0.12528473804100226,0.0,0.4233976077862853
14,56,2020-01-01 14:00:00,0.5894736842105263,0.26841305998481396,0.3049290743953465,0.0,0.1184510250569476,0.0,0.42201985322865787
15,60,2020-01-01 15:00:00,0.631578947368421,0.25816249050873197,0.3444229002959486,0.0,0.1469248291571754,0.0,0.4240889070344369
16,64,2020-01-01 16:00:00,0.6736842105263158,0.2731586940015186,0.30247984488213087,0.0,0.11503416856492026,0.0,0.42497234918339255
17,68,2020-01-01 17:00:00,0.7157894736842104,0.23538344722854973,0.46494540259210126,0.0,0.1594533029612756,0.0,0.48713323022663846
18,72,2020-01-01 18:00:00,0.7578947368421052,0.23576309794988612,0.45423002347178293,0.0,0.13781321184510248,0.0,0.5165297100672037
19,76,2020-01-01 19:00:00,0.7999999999999999,0.2386104783599089,0.46514950505153596,0.0,0.14464692482915717,0.0,0.49779289394196247
20,80,2020-01-01 20:00:00,0.8421052631578947,0.23139711465451784,0.495662822737014,0.0,0.19248291571753984,0.0,0.47256842928368514
21,84,2020-01-01 21:00:00,0.8842105263157894,0.21583143507972666,0.5434227982447188,0.0,0.1389521640091116,0.0,0.4472671535978352
22,88,2020-01-01 22:00:00,0.9263157894736841,0.20406226271829916,0.5451576691499133,0.0,0.10820045558086559,0.0,0.37383811787609433
23,92,2020-01-01 23:00:00,0.9684210526315788,0.2012148823082764,0.5262781916522095,0.0,0.019362186788154892,0.0,0.28324723808996577
24,96,2020-01-02 00:00:00,0.0,0.19817767653758542,0.5430145933258497,0.0,0.04328018223234624,0.5,0.22438161932869927
25,100,2020-01-02 01:00:00,0.042105263157894736,0.19457099468488992,0.5598530462292071,0.0,0.06378132118451024,0.5,0.20571700095610113
26,104,2020-01-02 02:00:00,0.08421052631578947,0.18754745634016706,0.6027145627104807,0.0,0.0592255125284738,0.5,0.19661224155568846
27,108,2020-01-02 03:00:00,0.12631578947368421,0.18526955201214884,0.6018981528727422,0.0,0.07517084282460136,0.5,0.17921604312489403
28,112,2020-01-02 04:00:00,0.16842105263157894,0.19324221716021261,0.5827125216858864,0.0,0.09567198177676536,0.5,0.16670991611912855
29,116,2020-01-02 05:00:00,0.21052631578947367,0.18811693242217162,0.6452699255026023,0.0,0.14578587699316628,0.5,0.17579137848114834
30,120,2020-01-02 06:00:00,0.25263157894736843,0.18697798025816248,0.6352689049903052,0.0,0.0888382687927107,0.5,0.22298218237890433
31,124,2020-01-02 07:00:00,0.29473684210526313,0.17729688686408504,0.6588427390550056,0.0,0.07289293849658314,0.5,0.2908436872522526
32,128,2020-01-02 08:00:00,0.3368421052631579,0.185459377372817,0.6430247984488213,0.0,0.08542141230068337,0.5,0.37749298493881067
33,132,2020-01-02 09:00:00,0.3789473684210526,0.25721336370539105,0.4471884886212879,0.0,0.11617312072892938,0.5,0.4741357894409055
34,136,2020-01-02 10:00:00,0.42105263157894735,0.2621488230827639,0.4428002857434432,0.0,0.10706150341685647,0.5,0.49387876082822113
35,140,2020-01-02 11:00:00,0.46315789473684205,0.27164009111617315,0.43851413409531587,0.0,0.1298405466970387,0.5,0.49300200792791293
36,144,2020-01-02 12:00:00,0.5052631578947369,0.31776765375854216,0.361567506888458,0.0,0.08656036446469248,0.5,0.45936431378112075
37,148,2020-01-02 13:00:00,0.5473684210526315,0.3221336370539104,0.3648331462394122,0.0,0.08656036446469248,0.5,0.41145983625180627
38,152,2020-01-02 14:00:00,0.5894736842105263,0.32687927107061504,0.36279212164506586,0.0,0.15603644646924825,0.5,0.4102712259662793
